id,transaction_date,description,merchant,kind,category,amount,currency
1,2025-01-01,Monthly salary credit,Employer Pvt Ltd,income,salary,93648.0,INR
2,2025-01-02,Grocery purchase,BigBasket,expense,groceries,670.18,INR
3,2025-01-02,Daily commute,IndianOil,expense,transport,501.32,INR
4,2025-01-02,Online shopping,Flipkart,expense,shopping,1984.31,INR
5,2025-01-03,House rent payment,House Owner,expense,rent,21204.0,INR
6,2025-01-03,Online shopping,Amazon,expense,shopping,3878.6,INR
7,2025-01-04,Grocery purchase,DMart,expense,groceries,2190.57,INR
8,2025-01-04,Daily commute,Ola,expense,transport,185.4,INR
9,2025-01-05,Learning subscription,Coursera,expense,education,1715.48,INR
10,2025-01-06,Daily commute,IndianOil,expense,transport,470.77,INR
11,2025-01-08,Electricity bill,TANGEDCO,expense,utilities,2718.0,INR
12,2025-01-08,Grocery purchase,BigBasket,expense,groceries,777.91,INR
13,2025-01-08,Grocery purchase,DMart,expense,groceries,1864.74,INR
14,2025-01-08,Daily commute,Ola,expense,transport,937.73,INR
15,2025-01-09,Daily commute,Uber,expense,transport,298.71,INR
16,2025-01-10,Daily commute,IndianOil,expense,transport,633.37,INR
17,2025-01-12,Daily commute,IndianOil,expense,transport,339.55,INR
18,2025-01-12,Food order,Swiggy,expense,dining,863.58,INR
19,2025-01-13,Daily commute,Uber,expense,transport,417.95,INR
20,2025-01-13,Food order,Zomato,expense,dining,642.48,INR
21,2025-01-13,Entertainment subscription,Prime Video,expense,entertainment,1189.51,INR
22,2025-01-14,Travel booking,MakeMyTrip,expense,travel,5235.44,INR
23,2025-01-15,Grocery purchase,DMart,expense,groceries,1103.75,INR
24,2025-01-18,Internet + mobile recharge,Airtel,expense,utilities,1463.0,INR
25,2025-01-18,Grocery purchase,BigBasket,expense,groceries,1837.66,INR
26,2025-01-18,Grocery purchase,BigBasket,expense,groceries,2132.65,INR
27,2025-01-18,Travel booking,IndiGo,expense,travel,7877.3,INR
28,2025-01-19,Online shopping,Myntra,expense,shopping,1664.31,INR
29,2025-01-20,Food order,Cafe Coffee Day,expense,dining,354.56,INR
30,2025-01-21,Entertainment subscription,BookMyShow,expense,entertainment,756.51,INR
31,2025-01-21,Online shopping,Flipkart,expense,shopping,1963.84,INR
32,2025-01-21,Learning subscription,Udemy,expense,education,571.46,INR
33,2025-01-22,Medical expense,Practo,expense,healthcare,2246.42,INR
34,2025-01-23,Grocery purchase,DMart,expense,groceries,1435.87,INR
35,2025-01-23,Daily commute,Uber,expense,transport,158.03,INR
36,2025-01-23,Food order,Cafe Coffee Day,expense,dining,841.0,INR
37,2025-01-24,Entertainment subscription,Netflix,expense,entertainment,362.57,INR
38,2025-01-25,Daily commute,Ola,expense,transport,204.83,INR
39,2025-01-25,Medical expense,Apollo Pharmacy,expense,healthcare,865.36,INR
40,2025-01-27,Food order,Zomato,expense,dining,345.91,INR
41,2025-01-28,Daily commute,Uber,expense,transport,749.81,INR
42,2025-01-28,Daily commute,Ola,expense,transport,599.2,INR
43,2025-01-28,Food order,Swiggy,expense,dining,1063.81,INR
44,2025-02-01,Monthly salary credit,Employer Pvt Ltd,income,salary,97186.0,INR
45,2025-02-01,Medical expense,Apollo Pharmacy,expense,healthcare,1673.99,INR
46,2025-02-01,Online shopping,Amazon,expense,shopping,3119.01,INR
47,2025-02-02,Online shopping,Amazon,expense,shopping,749.38,INR
48,2025-02-02,Online shopping,Flipkart,expense,shopping,762.17,INR
49,2025-02-03,House rent payment,House Owner,expense,rent,22133.0,INR
50,2025-02-03,Grocery purchase,BigBasket,expense,groceries,2473.59,INR
51,2025-02-03,Food order,Cafe Coffee Day,expense,dining,675.71,INR
52,2025-02-03,Food order,Cafe Coffee Day,expense,dining,961.15,INR
53,2025-02-04,Grocery purchase,DMart,expense,groceries,2529.25,INR
